,pi_q,pi_e,hiato,de,pi_star_usd,pi_agr_usd,pi_met_usd,de_fim,pi_star_usd_fim,ipca_12m,rr_2a,rr_10a,g_rr,g_rr_fim,selic,selic_fim,pi_e_2a,pi_bcb,pi_is_q,pi_ia_q,pi_ii_q,pi_im_q,wq_is,wq_ia,wq_ii,wq_im,meta_12m,meta_24m,completo
2016Q4,0.7417894039999817,4.929032258064517,-3.24,1.5054123640601214,3.2025682308085557,0.33437632276562823,6.434636032117602,0.3966002154814241,4.373964838336342,6.29,6.117495064754098,5.980828978852459,0.13666608590163865,0.01591889000000002,13.967391304347826,13.75,4.558909385970726,4.6,1.5376595254999792,-0.9674260574999871,0.822177871999985,0.7511118812000062,0.352169,0.169963,0.235986,0.241882,4.5,4.5,True
2017Q1,0.9630321349999971,4.666825396825397,-3.17,-4.663555746063919,1.7682727990067093,0.7643144331844098,4.387590868155922,-2.8224355035659787,-1.8073304527269407,4.57,5.415995107903226,5.463997804516129,-0.048002696612903684,-0.25993485999999955,12.783333333333333,12.25,4.493966298360549,4.2,1.5572325672000176,-0.2730769524999843,0.04979585600000114,1.8712862719999945,0.35513771027542057,0.16717733435466872,0.23494846989693982,0.24273648547297097,4.5,4.458333333333333,True
2017Q2,0.21939800180001967,4.579836065573771,-2.99,2.2725952428374496,-3.2281955393103523,-3.30534536985434,-2.267745943333477,4.317750621799599,-2.863945294283532,3.0,4.952384484262295,5.502688882786885,-0.5503043985245908,-0.8474807200000001,11.052197802197803,10.25,4.32453394822769,4.5,0.9725680534999892,-0.8148885856000043,-0.08006897480000719,0.11274968800001339,0.35570271140542287,0.16675433350866703,0.23305646611293224,0.24448648897297798,4.5,4.395833333333333,True
2017Q3,0.5911447296000016,4.306875,-2.68,-1.6745670102427335,0.15344214996781957,-2.2112688364010147,6.526922203773378,-4.330376087380405,3.615171748198076,2.54,3.880359909375,5.19705207984375,-1.3166921704687495,-1.55078365,9.282608695652174,8.25,4.225722963723477,4.3,0.8517841699999806,-3.3555962895999936,0.18936682999999288,3.2794211456000033,0.35774992675021977,0.1605895182314453,0.23231930304209084,0.24934125197624402,4.5,4.333333333333333,True
2017Q4,1.1442611743999853,3.975245901639344,-2.23,2.5767688176397963,4.327806480754326,2.4098895913531315,3.279632775535557,4.324330320926539,2.4414519626984266,2.95,3.4446429818644067,5.162080634915254,-1.7174376530508475,-1.7468649100000002,7.567934782608695,7.0,4.220860739892955,4.2,1.093386664000029,-0.47250885920000485,0.8620971775999964,2.527793165600012,0.35812707438122315,0.15668047004141014,0.23167869503608512,0.2535137605412816,4.5,4.270833333333333,True
2018Q1,0.7014778351999817,3.9975409836065574,-1.87,-0.09992786626216166,1.77991433916862,0.49209044882250197,4.137085837288179,0.47649295498408684,0.04245383209591225,2.68,3.4365665588135594,4.945854869491526,-1.5092883106779662,-1.8875300800000003,6.8277777777777775,6.5,4.200718573624622,4.3,0.9819049472000074,0.3222622976000178,0.19008300649998588,0.9828275300000078,0.35967664032335966,0.1565458434541565,0.2305217694782305,0.2532557467442533,4.458333333333333,4.208333333333334,True
2018Q2,1.8887030879999989,4.191746031746032,-1.79,10.587667690780055,-0.5479465764625324,-3.493756383149993,-1.3319847601922952,14.846980147194566,1.766979081598219,4.39,3.3555773658730157,5.330073055873016,-1.9744956900000004,-1.7736896800000004,6.5,6.5,4.028876503373423,3.7,0.19981692979997856,3.740469034799987,0.3804391481999847,4.517477677999993,0.3568549294352117,0.15598153205540385,0.22964031107906674,0.2575232274303177,4.395833333333333,4.145833333333333,True
2018Q3,0.7208535743999933,3.781875,-1.67,9.135942244851547,-2.3821401866072733,-1.8631586880670348,-10.923091735174673,3.7690377932886543,-2.542474041378906,4.53,4.161946483650794,5.668336718253968,-1.5063902346031748,-1.89167664,6.5,6.5,4.042547484599589,3.9,0.9209876479999934,-1.3057520000000045,0.3394272980000057,1.9807742527999883,0.354225,0.156474,0.226629,0.262672,4.333333333333333,4.083333333333333,True
2018Q4,0.3894135824999978,3.863225806451613,-1.58,-3.6637346857819164,0.20829476950225967,2.7115080906618516,-1.5714388999930051,-3.277483754602528,-2.5210327212825234,3.75,3.5707136915254236,4.99405608779661,-1.423342396271186,-1.4530921499999998,6.5,6.5,4.024016360866399,3.9,1.2042973214000163,1.7593594700000104,0.2064449876000074,-1.3512579399999947,0.3551564206256825,0.15731062924251699,0.22543090172360689,0.2621020484081937,4.270833333333333,4.020833333333333,True
2019Q1,1.507011320000018,4.006229508196721,-1.52,-1.0551410979980913,-2.1376707057148003,0.1519415036263183,3.412210387718062,0.5635992529118283,0.35032440803162146,4.58,2.982807027,4.2855937595,-1.3027867325,-1.21897398,6.5,6.5,3.9700295104408614,3.9,1.234965563700019,4.338023979599992,0.44968642669998005,1.0926960875000002,0.35735414412486477,0.16013396080376482,0.22422134532807197,0.25829054974329846,4.208333333333334,3.9583333333333335,True
